1Agent_id,2fast turn number,3turning_speed,4hb_number,5acc_number,6Average over speed,7ov_duration,8speeding times,9time
526810,2,6.243712851,18,0,14.44131864,7074,144,21939
526811,4,4.543807353,67,1,8.214683182,4317,97,16593
526812,1,4.470403383,11,2,15.53392007,9759,268,79558
526814,2,3.711136188,87,8,13.56865055,12328,356,110979
526815,0,2.955215122,34,4,13.51706026,4933,163,36755
526817,18,4.29890431,51,7,15.72341183,12157,330,68858
526818,6,5.92692115,6,0,0.857266406,224,18,1513
526819,0,7.093250385,3284,260,164930.7592,31972,6710,310641
526820,4,1.515690088,9,0,3.060478215,790,23,2834
526821,0,3.679061866,0,1,0.16577063,20,4,2981
526822,0,3.683685433,23,0,5.558718676,3691,89,34336
526823,1,3.007157171,11,0,4.646675877,2388,59,11463
526824,1,4.476597884,42,1,52.46702275,14586,383,68575
526825,2,4.044437487,6,2,1.030462078,1252,28,6330
526827,0,4.657012016,4,0,3.078337628,1005,50,10346
526828,2,3.70811331,4,3,1.626133032,930,35,25304
526829,2,3.025385897,35,2,1.715534433,1905,73,18247
526830,3,4.350925427,45,21,8.227990851,3825,131,21277
526831,1,6.26258958,1315,82,8717.385104,15794,1418,112538
526833,3,4.292393388,1,2,5.153134814,1076,46,9093
526834,1,3.668643365,19,10,3.185263018,2265,54,8911
526836,1,4.637996532,56,2,7.518621389,4927,139,36186
526839,0,4.988883658,24,0,13.02060118,9001,211,31435
526840,0,5.059722723,60,2,16.8264048,10678,193,38220
526841,0,3.057890075,71,3,27.53449575,10019,462,112581
526842,2,4.340432216,82,7,8.979550586,5438,146,40122
526843,4,4.847593499,67,2,10.16612695,10003,139,54880
526844,1,2.790249237,90,3,30.2979331,9688,323,77622
526845,0,4.551457383,79,5,14.0101893,11892,217,46434
526846,4,3.398596292,19,0,1.925609055,905,36,8717
526847,0,3.906206202,6,0,4.061358723,1345,102,22618
526848,0,3.644733813,9,13,6.974841567,1533,44,23950
526849,1,4.345415719,43,15,18.10538305,6271,152,31072
526850,1,3.246132588,24,8,5.408306538,2938,104,34705
526851,3,4.417674286,30,0,11.17401045,4916,140,22774
526852,4,4.456671991,42,1,10.78939655,3142,161,34673
526853,0,4.923442586,90,4,29.31000714,14541,325,69173
526854,3,4.771951136,20,1,9.190921918,6182,101,14323
526855,0,2.122694744,35,2,4.572566148,680,77,27276
526856,0,4.050777854,80,0,11.22296992,4982,156,34591
526857,2,2.890159612,64,2,8.431173918,6133,167,35579
526858,2,3.441669645,58,4,15.11413357,6240,205,48016
526859,0,3.237121506,35,6,9.47218981,2143,117,39129
526861,0,3.431143621,48,2,16.9794892,15975,251,112127
526862,2,3.392027081,90,3,21.06202102,9336,267,41296
526863,20,5.074781521,87,4,22.86335768,6576,265,60748
526864,0,3.516239389,57,2,10.81492201,5951,212,48164
526865,2,7.685437089,118,3,23.53558528,10166,255,30952
526867,0,3.379310429,13,1,6.177343147,2197,112,31096
526869,3,4.057927236,2,0,4.26271952,7942,126,34124
526870,4,4.434908283,64,1,20.06963166,15196,251,43755
526871,4,4.703898949,66,11,20.74448733,9341,298,49819
526872,2,3.331405028,6,0,4.392777666,2145,70,32145
526873,2,3.929161643,108,11,25.17806663,14798,374,89824
526874,1,7.324873029,8,1,1.883269188,333,23,2405
526875,1,4.785105667,62,7,23.00372037,10510,315,54273
526877,1,4.337270877,8,0,8.990545759,8052,213,37049
526878,1,2.658132769,1,0,0.086972081,26,3,348
526879,0,4.098213629,109,14,27.16690783,5988,309,67504
526880,6,1.730671821,21,1,15.8648244,7415,282,14394
526881,0,4.262614205,11,0,4.736593424,1282,69,16548
526882,2,2.966559659,5,0,3.383749357,3951,92,26431
526883,0,3.294659839,78,7,23.35649058,13124,393,103188
526884,0,3.160758862,29,46,36.17672647,15798,724,205862
526885,1,4.038902028,1,0,0.801652561,1592,26,4755
526886,3,6.408108466,0,0,0.150398804,300,12,2734
526887,7,3.026070618,56,2,12.46450936,9618,182,49856
526888,0,3.595357469,82,4,4.899020416,3150,148,63019
526889,2,4.081741668,58,0,12.96241057,8585,213,31616
526890,8,3.30136383,169,15,36.20169768,8055,271,102466
526891,2,3.982178773,36,1,5.008663235,2755,71,16530
526892,11,3.550088976,37,3,10.13982376,5455,140,28263
526894,0,3.134083807,54,1,8.556255894,4765,153,31912
526896,2,4.203633341,79,4,18.9636183,7683,317,53558
526897,4,5.95155438,15,7,5.65300638,1078,72,7190
526898,2,4.199653237,22,2,4.612333201,2573,68,13179
